video_id,date,dur_secs,viewCount,likeCount,favoriteCount,commentCount,duration,dimension,definition,caption,licensedContent,contentRating,projection,publishedAt,channelId,title,description,thumbnails,channelTitle,categoryId,liveBroadcastContent,localized,tags,defaultAudioLanguage
nmVf1jHl2f8,2025-07-24,10,93256,1456,0,37,PT10S,2d,hd,false,True,{},rectangular,2025-07-19T13:02:05Z,UCWTj3vCqkQIsrTGSm4kM34g,Slap Bass Bootcamp going down next week! (see description for more info),"Want to unlock your own slap tone and technique? 🤔

Our FREE 3-day Slap Bass Bootcamp kicks off next week! (21-24 Jul 25) - Head to SlapBassBootcamp.com to check it out!

#SlapBass #BassGroove #SBLBootcamp","{'default': {'url': 'https://i.ytimg.com/vi/nmVf1jHl2f8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nmVf1jHl2f8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nmVf1jHl2f8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/nmVf1jHl2f8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/nmVf1jHl2f8/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Scott's Bass Lessons,10,none,"{'title': 'Slap Bass Bootcamp going down next week! (see description for more info)', 'description': 'Want to unlock your own slap tone and technique? 🤔\n\nOur FREE 3-day Slap Bass Bootcamp kicks off next week! (21-24 Jul 25) - Head to SlapBassBootcamp.com to check it out!\n\n#SlapBass #BassGroove #SBLBootcamp'}",,
k1GM8YxE09I,2025-07-24,5190,117115,3107,0,938,PT1H26M30S,2d,hd,false,True,{},rectangular,2024-03-25T16:37:47Z,UCWTj3vCqkQIsrTGSm4kM34g,The Dark Side of Boutique Basses | The SBL Podcast Ep. 145,"🔥 Try the SBL Bass Academy FREE for 14 Days: https://sbl.link/join-sbl
🚀 Get 1-1 Bass Coaching (12 Month Mentorship Program): https://sbl.link/the-blueprint

In this episode, we’re sorting through our pick of boutique basses from F Bass, Ken Smith, Olinto, 
Overwater and more. We’re also going to delve into some of the questions that often come along, namely: why are they so expensive? How are they built? And are they really worth it? The answers are often a matter of opinion, but we shall ponder them nonetheless!

===

Video Breakdown:

00:00 - Introduction
01:00 - Discussion on Different Basses Used for Gigs
03:27 - FREE BASS GIVEAWAY
07:40 - Defining Boutique Basses
08:38 - Pros of Boutique Basses
25:18 - Playability and Setup
26:46 - Clarity and Agility
38:59 - Working with Top Craftsmen and Small Businesses
43:04 - Choosing the Right Bass
44:28 - The Expense of Boutique Basses
46:15 - The Unforgiving Nature of Boutique Basses
47:50 - The Bass You Want Isn't Always the Bass You Need
48:49 - The Influence of Visuals on Sound Perception
54:27 - Customizing Your Bass
55:48 - The Importance of Reading the Room
57:40 - The Danger of Too Many Options!
59:54 - The Impact of Bass Choice on Playing for Others
01:01:18 - Versatility
01:09:03 - Favorite Boutique Bass Builders

===
GET MORE BASS TIPS 👇
_________________________________________________________________
🙌 Be the first to know - SUBSCRIBE now → https://bit.ly/sub-to-sbl-yt
🎧 Tune in to our Weekly PODCAST → https://sblpodcast.buzzsprout.com/share
📱 Try our free GrooveTrainer APP → https://scottsbasslessons.com/groove-... 


ABOUT SCOTT'S BASS LESSONS (SBL)
_________________________________________________________________
As the largest online bass education platform in the world, with an ever-expanding course library and 40,000+ active members, Scott's Bass Lessons (SBL) has everything you need to master the bass, all in one place. 

With beginner-friendly bass lessons, interactive courses led by industry experts, structured learning paths, personalized feedback, real-time mentorship from top bassists, and a vibrant, supportive community, SBL is the ultimate destination to enhance your bass playing—whether you're starting out or already a professional.

Try SBL Membership today! → https://sbl.link/join-sbl


RECOMMENDED BASS PLAYLIST
_________________________________________________________________
Catch up with SBL Content you've missed:
➡️   https://www.youtube.com/playlist?list=PLq5Wss5r1Cvvplt7z7O45JHk2TaJ3NT53

#bassguitarlessons #boutiquebass #custombass","{'default': {'url': 'https://i.ytimg.com/vi/k1GM8YxE09I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/k1GM8YxE09I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/k1GM8YxE09I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/k1GM8YxE09I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/k1GM8YxE09I/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Scott's Bass Lessons,10,none,"{'title': 'The Dark Side of Boutique Basses | The SBL Podcast Ep. 145', 'description': ""🔥 Try the SBL Bass Academy FREE for 14 Days: https://sbl.link/join-sbl\n🚀 Get 1-1 Bass Coaching (12 Month Mentorship Program): https://sbl.link/the-blueprint\n\nIn this episode, we’re sorting through our pick of boutique basses from F Bass, Ken Smith, Olinto, \nOverwater and more. We’re also going to delve into some of the questions that often come along, namely: why are they so expensive? How are they built? And are they really worth it? The answers are often a matter of opinion, but we shall ponder them nonetheless!\n\n===\n\nVideo Breakdown:\n\n00:00 - Introduction\n01:00 - Discussion on Different Basses Used for Gigs\n03:27 - FREE BASS GIVEAWAY\n07:40 - Defining Boutique Basses\n08:38 - Pros of Boutique Basses\n25:18 - Playability and Setup\n26:46 - Clarity and Agility\n38:59 - Working with Top Craftsmen and Small Businesses\n43:04 - Choosing the Right Bass\n44:28 - The Expense of Boutique Basses\n46:15 - The Unforgiving Nature of Boutique Basses\n47:50 - The Bass You Want Isn't Always the Bass You Need\n48:49 - The Influence of Visuals on Sound Perception\n54:27 - Customizing Your Bass\n55:48 - The Importance of Reading the Room\n57:40 - The Danger of Too Many Options!\n59:54 - The Impact of Bass Choice on Playing for Others\n01:01:18 - Versatility\n01:09:03 - Favorite Boutique Bass Builders\n\n===\nGET MORE BASS TIPS 👇\n_________________________________________________________________\n🙌 Be the first to know - SUBSCRIBE now → https://bit.ly/sub-to-sbl-yt\n🎧 Tune in to our Weekly PODCAST → https://sblpodcast.buzzsprout.com/share\n📱 Try our free GrooveTrainer APP → https://scottsbasslessons.com/groove-... \n\n\nABOUT SCOTT'S BASS LESSONS (SBL)\n_________________________________________________________________\nAs the largest online bass education platform in the world, with an ever-expanding course library and 40,000+ active members, Scott's Bass Lessons (SBL) has everything you need to master the bass, all in one place. \n\nWith beginner-friendly bass lessons, interactive courses led by industry experts, structured learning paths, personalized feedback, real-time mentorship from top bassists, and a vibrant, supportive community, SBL is the ultimate destination to enhance your bass playing—whether you're starting out or already a professional.\n\nTry SBL Membership today! → https://sbl.link/join-sbl\n\n\nRECOMMENDED BASS PLAYLIST\n_________________________________________________________________\nCatch up with SBL Content you've missed:\n➡️   https://www.youtube.com/playlist?list=PLq5Wss5r1Cvvplt7z7O45JHk2TaJ3NT53\n\n#bassguitarlessons #boutiquebass #custombass""}","['scott devine', 'bass lessons', 'bass guitar', 'beginner', 'beginners', 'scottsbasslessons', 'scotts bass lessons', 'sbl', 'electric bass', 'bass lesson', 'beginner bass lesson', 'beginner bass lessons']",en
